variation_key,scoped_variation_key,run_name,seed_or_run_index,num_runs_in_variation,grouping_method,tokenizer_family,text_representation,best_val_loss,best_iter,best_tokens,checkpoint,base_meta,run_dir,root,best_val_loss_file
multidata_base-ohmg_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,out_multidata_base::multidata_base-ohmg_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,multidata_base-ohmg_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4,4,5,trailing_seed_suffix,ipa,ipa,0.6452261209487915,65000,354992128.0,out_multidata_base/multidata_base-ohmg_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/ckpt.pt,out_multidata_base/multidata_base-ohmg_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/meta.pkl,out_multidata_base/multidata_base-ohmg_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4,out_multidata_base,out_multidata_base/multidata_base-ohmg_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/best_val_loss_and_iter.txt
multidata_base-ohmg_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,out_multidata_base::multidata_base-ohmg_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,multidata_base-ohmg_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-2,2,5,trailing_seed_suffix,ipa,ipa,0.646273672580719,55000,0.0,out_multidata_base/multidata_base-ohmg_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-2/ckpt.pt,out_multidata_base/multidata_base-ohmg_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-2/meta.pkl,out_multidata_base/multidata_base-ohmg_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-2,out_multidata_base,out_multidata_base/multidata_base-ohmg_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-2/best_val_loss_and_iter.txt
multidata_base-ohmg_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,out_multidata_base::multidata_base-ohmg_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,multidata_base-ohmg_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-5,5,5,trailing_seed_suffix,ipa,ipa,0.6517406702041626,57000,98304000.0,out_multidata_base/multidata_base-ohmg_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-5/ckpt.pt,out_multidata_base/multidata_base-ohmg_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-5/meta.pkl,out_multidata_base/multidata_base-ohmg_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-5,out_multidata_base,out_multidata_base/multidata_base-ohmg_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-5/best_val_loss_and_iter.txt
multidata_base-ohmg_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,out_multidata_base::multidata_base-ohmg_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,multidata_base-ohmg_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-1,1,5,trailing_seed_suffix,tiktoken,orthographic,1.6468610763549805,21000,0.0,out_multidata_base/multidata_base-ohmg_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-1/ckpt.pt,out_multidata_base/multidata_base-ohmg_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-1/meta.pkl,out_multidata_base/multidata_base-ohmg_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-1,out_multidata_base,out_multidata_base/multidata_base-ohmg_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-1/best_val_loss_and_iter.txt
multidata_base-ohmg_layer0-tiktoken_jckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,out_multidata_base::multidata_base-ohmg_layer0-tiktoken_jckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,multidata_base-ohmg_layer0-tiktoken_jckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4,4,5,trailing_seed_suffix,tiktoken,orthographic,1.6472914218902588,23000,125616128.0,out_multidata_base/multidata_base-ohmg_layer0-tiktoken_jckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/ckpt.pt,out_multidata_base/multidata_base-ohmg_layer0-tiktoken_jckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/meta.pkl,out_multidata_base/multidata_base-ohmg_layer0-tiktoken_jckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4,out_multidata_base,out_multidata_base/multidata_base-ohmg_layer0-tiktoken_jckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/best_val_loss_and_iter.txt
multidata_base-ohmg_layer0-tiktoken_kckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,out_multidata_base::multidata_base-ohmg_layer0-tiktoken_kckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,multidata_base-ohmg_layer0-tiktoken_kckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-2,2,5,trailing_seed_suffix,tiktoken,orthographic,1.6498583555221558,23000,125616128.0,out_multidata_base/multidata_base-ohmg_layer0-tiktoken_kckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-2/ckpt.pt,out_multidata_base/multidata_base-ohmg_layer0-tiktoken_kckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-2/meta.pkl,out_multidata_base/multidata_base-ohmg_layer0-tiktoken_kckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-2,out_multidata_base,out_multidata_base/multidata_base-ohmg_layer0-tiktoken_kckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-2/best_val_loss_and_iter.txt
multidata_base-one_hot_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,out_multidata_base::multidata_base-one_hot_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,multidata_base-one_hot_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4,4,5,trailing_seed_suffix,ipa,ipa,0.6478294134140015,97000,131072000.0,out_multidata_base/multidata_base-one_hot_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/ckpt.pt,out_multidata_base/multidata_base-one_hot_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/meta.pkl,out_multidata_base/multidata_base-one_hot_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4,out_multidata_base,out_multidata_base/multidata_base-one_hot_layer0-ipa_cckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/best_val_loss_and_iter.txt
multidata_base-one_hot_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,out_multidata_base::multidata_base-one_hot_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,multidata_base-one_hot_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4,4,5,trailing_seed_suffix,ipa,ipa,0.6507619619369507,86000,71008256.0,out_multidata_base/multidata_base-one_hot_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/ckpt.pt,out_multidata_base/multidata_base-one_hot_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/meta.pkl,out_multidata_base/multidata_base-one_hot_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4,out_multidata_base,out_multidata_base/multidata_base-one_hot_layer0-ipa_jckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/best_val_loss_and_iter.txt
multidata_base-one_hot_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,out_multidata_base::multidata_base-one_hot_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,multidata_base-one_hot_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4,4,5,trailing_seed_suffix,ipa,ipa,0.650078296661377,89000,273072128.0,out_multidata_base/multidata_base-one_hot_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/ckpt.pt,out_multidata_base/multidata_base-one_hot_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/meta.pkl,out_multidata_base/multidata_base-one_hot_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4,out_multidata_base,out_multidata_base/multidata_base-one_hot_layer0-ipa_kckj-1-1-1_1-1-1-linear-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-4/best_val_loss_and_iter.txt
multidata_base-one_hot_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,out_multidata_base::multidata_base-one_hot_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True,multidata_base-one_hot_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-1,1,5,trailing_seed_suffix,tiktoken,orthographic,1.6491992473602295,25000,136544256.0,out_multidata_base/multidata_base-one_hot_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-1/ckpt.pt,out_multidata_base/multidata_base-one_hot_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-1/meta.pkl,out_multidata_base/multidata_base-one_hot_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-1,out_multidata_base,out_multidata_base/multidata_base-one_hot_layer0-tiktoken_cckj-1-1-1_1-1-1-linear-base_batch_iters-multidataset-True-6e-4-12-12-768-1024-True-False-True-True-True-True-100-1000-True-True-1/best_val_loss_and_iter.txt
